Product_To_Move_In,Current_Cold_Zone,Cold_Zone_Visits,Cold_Product_Online_Views,Product_To_Move_Out,Current_Hot_Zone,Hot_Zone_Visits,Hot_Product_Online_Views,Suggested_New_Zone_For_Move_In,Reason
Bananas Dozen,D2,39,7969,Formal Shirt Men,A8,41,1423,A8,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Horlicks Classic,F3,36,7614,Barbie Doll,E4,41,5954,E4,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Philips LED Bulb,J9,31,6322,Himalaya Neem Face Pack,G5,41,632,G5,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Sport Shoes Adidas,F9,35,6177,USB Cable Charger,G8,41,1919,G8,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Ponds Cold Cream,D7,36,6143,Oral-B Toothbrush,D9,42,1682,D9,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Everest Garam Masala,H5,35,6031,Ethnic Kurti Women,D3,42,1506,D3,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Nescafe Classic Coffee 100g,C8,38,5430,Ceiling Fan Usha,E2,42,1155,E2,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Fair & Lovely Cream,I10,32,5250,Laptop Bag,A7,42,1896,A7,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Frooti Mango Drink 1L,I6,39,5166,Potatoes 1kg,F5,42,7915,F5,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Bread Loaf Brown,C7,37,5006,Lego Classic Box,G6,42,1503,G6,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Vinegar 500ml,F8,39,4551,Nivea Body Lotion,H6,42,1085,H6,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Tomatoes 500g,E7,36,4179,Underwear Multi-pack,I7,42,1920,I7,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Cricket Bat Kids,B6,24,3914,Bajaj Mixer Grinder,J5,42,1049,J5,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."
Men's T-Shirt Basic,D5,37,3549,Listerine Mouthwash,J8,42,870,J8,"High online demand, low in-store visibility. Move to high traffic zone occupied by underperforming product."